condicion,grado,precision,recall,f1-score,support
Original,Civil,0.6585365853658537,0.84375,0.7397260273972602,32.0
Original,Ejecución,0.4,0.4,0.4,5.0
Original,Informática,0.7647058823529411,0.5,0.6046511627906976,26.0
Solo_titulos,Civil,0.625,0.78125,0.6944444444444444,32.0
Solo_titulos,Ejecución,0.25,0.2,0.2222222222222222,5.0
Solo_titulos,Informática,0.6842105263157895,0.5,0.5777777777777777,26.0
Agresivo,Civil,0.6052631578947368,0.71875,0.6571428571428571,32.0
Agresivo,Ejecución,0.2,0.2,0.2,5.0
Agresivo,Informática,0.65,0.5,0.5652173913043478,26.0
Seleccion_anidada,Civil,0.6428571428571429,0.84375,0.7297297297297297,32.0
Seleccion_anidada,Ejecución,0.5,0.4,0.4444444444444444,5.0
Seleccion_anidada,Informática,0.7647058823529411,0.5,0.6046511627906976,26.0
